Name,Address,Website,Open Hours,Time,Travel Distance (miles),Travel Time (minutes),Transportation Type
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, USA",https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,"Monday: 8:00 AM – 10:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 10:00 AM – 11:00 PM
Sunday: 10:00 AM – 9:00 PM",10:00 AM,0.65,1.3,Walk
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, USA",http://mercersnightowl.com/,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: 8:30 PM – 2:30 AM
Friday: 8:30 PM – 3:30 AM
Saturday: 8:30 PM – 3:30 AM
Sunday: 6:00 PM – 1:00 AM",12:00 PM,0.46,0.93,Walk
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, USA",,"Monday: 8:00 AM – 2:00 PM
Tuesday: 8:00 AM – 2:00 PM
Wednesday: 8:00 AM – 2:00 PM
Thursday: 8:00 AM – 2:00 PM
Friday: 8:00 AM – 2:00 PM
Saturday: Closed
Sunday: Closed",2:00 PM,0.68,1.36,Walk
Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",https://www.facebook.com/peregrino1982/,"Monday: Closed
Tuesday: Closed
Wednesday: 5:00 PM – 1:00 AM
Thursday: 5:00 PM – 1:00 AM
Friday: 5:00 PM – 4:00 AM
Saturday: 5:00 PM – 4:00 AM
Sunday: 5:00 PM – 1:00 AM",10:00 AM,4.41,8.83,Car
T Street Eatz,"City Market, 222 E Market St, Indianapolis, IN 46204, USA",http://www.tstreeteatzindy.com/,"Monday: 11:30 AM – 4:00 PM
Tuesday: 11:30 AM – 4:00 PM
Wednesday: 11:30 AM – 8:00 PM
Thursday: 11:30 AM – 4:00 PM
Friday: 11:30 AM – 4:00 PM
Saturday: 11:30 AM – 4:00 PM
Sunday: Closed",12:00 PM,0.24,0.49,Walk
El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis, IN 46222, USA",,"Monday: 12:00 PM – 12:00 AM
Tuesday: 12:00 PM – 12:00 AM
Wednesday: 12:00 PM – 12:00 AM
Thursday: 12:00 PM – 12:00 AM
Friday: 12:00 PM – 12:00 AM
Saturday: 12:00 PM – 12:00 AM
Sunday: 12:00 PM – 12:00 AM",2:00 PM,3.34,6.68,Car
